filename,panel,condition,cell_count
BAS_ICS_AA22008_2022-03-14_Peanut.fcs,intracell,peanut,48422
BAS_ICS_AA22011_2022-04-01_Peanut.fcs,intracell,peanut,96298
BAS_ICS_AA22019_2022-10-18_Peanut.fcs,intracell,peanut,51855
BAS_ICS_AA22020_2022-10-25_Peanut.fcs,intracell,peanut,42833
BAS_ICS_AA23001_2023-02-07_Peanut.fcs,intracell,peanut,55673
BAS_ICS_AA23002_2023-02-17_Peanut1.fcs,intracell,peanut,52191
BAS_ICS_AA23002_2023-02-17_Peanut2.fcs,intracell,peanut,49288
BAS_ICS_AA23003_2023-03-27_Peanut.fcs,intracell,peanut,38890
BAS_ICS_AA23004_2023-04-04_Peanut.fcs,intracell,peanut,55389
BAS_ICS_AA23005_2023-07-04_Peanut.fcs,intracell,peanut,47923
BAS_ICS_AA23008_2023-05-23_Peanut1.fcs,intracell,peanut,42828
BAS_ICS_AA23008_2023-05-23_Peanut2.fcs,intracell,peanut,41262
BAS_ICS_AA23009_2023-06-05_Peanut1.fcs,intracell,peanut,39959
BAS_ICS_AA23009_2023-06-05_Peanut2.fcs,intracell,peanut,43401
BAS_ICS_AA23010_2023-07-03_Peanut.fcs,intracell,peanut,43201
BAS_ICS_AA23013_2023-10-04_Peanut.fcs,intracell,peanut,64831
BAS_ICS_AA23015_2023-11-06_Peanut.fcs,intracell,peanut,48344
W12_ICS_AA22008_2022-06-23_Peanut.fcs,intracell,peanut,40724
W12_ICS_AA22011_2022-07-21_Peanut.fcs,intracell,peanut,49211
W12_ICS_AA22019_2023-02-10_Peanut.fcs,intracell,peanut,39569
W12_ICS_AA23001_2023-07-14_Peanut.fcs,intracell,peanut,39473
W12_ICS_AA23002_2023-06-15_Peanut.fcs,intracell,peanut,40087
W12_ICS_AA23003_2023-07-20_Peanut.fcs,intracell,peanut,46632
W12_ICS_AA23004_2023-08-15_Peanut.fcs,intracell,peanut,49123
W12_ICS_AA23005_2023-10-30_Peanut1.fcs,intracell,peanut,42548
W12_ICS_AA23005_2023-10-30_Peanut2.fcs,intracell,peanut,41174
W12_ICS_AA23008_2023-10-06_Peanut.fcs,intracell,peanut,38496
W12_ICS_AA23009_2023-10-11_Peanut.fcs,intracell,peanut,47030
W12_ICS_AA23010_2023-11-09_Peanut.fcs,intracell,peanut,38751
W12_ICS_AA23013_2024-02-16_Peanut.fcs,intracell,peanut,44912
W12_ICS_AA23015_2024-02-16_Peanut.fcs,intracell,peanut,38920
W2_ICS_AA22008_2022-04-04_Peanut.fcs,intracell,peanut,40810
W2_ICS_AA22011_2022-05-10_Peanut.fcs,intracell,peanut,41433
W2_ICS_AA22019_2022-12-09_Peanut.fcs,intracell,peanut,39949
W2_ICS_AA22020_2022-12-19_Peanut.fcs,intracell,peanut,36431
W2_ICS_AA23001_2023-05-05_Peanut.fcs,intracell,peanut,39187
W2_ICS_AA23002_2023-04-05_Peanut.fcs,intracell,peanut,30722
W2_ICS_AA23003_2023-05-16_Peanut.fcs,intracell,peanut,47325
W2_ICS_AA23004_2023-05-19_Peanut.fcs,intracell,peanut,60268
W2_ICS_AA23005_2023-08-23_Peanut.fcs,intracell,peanut,51193
W2_ICS_AA23008_2023-07-24_Peanut.fcs,intracell,peanut,39001
W2_ICS_AA23009_2023-08-01_Peanut.fcs,intracell,peanut,46449
W2_ICS_AA23010_2023-08-28_Peanut1.fcs,intracell,peanut,40874
W2_ICS_AA23010_2023-08-28_Peanut2.fcs,intracell,peanut,39311
W2_ICS_AA23013_2023-12-08_Peanut.fcs,intracell,peanut,49987
W2_ICS_AA23015_2023-12-01_Peanut.fcs,intracell,peanut,43557
