panel,condition,sample,cells_before,cells_after,perc_tot_removed,perc_IT_removed,perc_MAD_removed
intracell,peanut,BAS_ICS_AA22008_2022-03-14_Peanut.fcs,48422,47750,1.387798934,0.355210442,1.387798934
intracell,peanut,BAS_ICS_AA22011_2022-04-01_Peanut.fcs,96298,96000,0.309456063,0,0.309456063
intracell,peanut,BAS_ICS_AA22019_2022-10-18_Peanut.fcs,51855,51750,0.202487706,0,0.202487706
intracell,peanut,BAS_ICS_AA22020_2022-10-25_Peanut.fcs,42833,42833,0,0,0
intracell,peanut,BAS_ICS_AA23001_2023-02-07_Peanut.fcs,55673,55673,0,0,0
intracell,peanut,BAS_ICS_AA23002_2023-02-17_Peanut1.fcs,52191,52191,0,0,0
intracell,peanut,BAS_ICS_AA23002_2023-02-17_Peanut2.fcs,49288,49288,0,0,0
intracell,peanut,BAS_ICS_AA23003_2023-03-27_Peanut.fcs,38890,38890,0,0,0
intracell,peanut,BAS_ICS_AA23004_2023-04-04_Peanut.fcs,55389,55389,0,0,0
intracell,peanut,BAS_ICS_AA23005_2023-07-04_Peanut.fcs,47923,47923,0,0,0
intracell,peanut,BAS_ICS_AA23008_2023-05-23_Peanut1.fcs,42828,42828,0,0,0
intracell,peanut,BAS_ICS_AA23008_2023-05-23_Peanut2.fcs,41262,41262,0,0,0
intracell,peanut,BAS_ICS_AA23009_2023-06-05_Peanut1.fcs,39959,39209,1.876923847,1.251282565,1.251282565
intracell,peanut,BAS_ICS_AA23009_2023-06-05_Peanut2.fcs,43401,43250,0.347918251,0,0.347918251
intracell,peanut,BAS_ICS_AA23010_2023-07-03_Peanut.fcs,43201,37951,12.15249647,0,12.15249647
intracell,peanut,BAS_ICS_AA23013_2023-10-04_Peanut.fcs,64831,56500,12.85033395,0.771235983,9.765390014
intracell,peanut,BAS_ICS_AA23015_2023-11-06_Peanut.fcs,48344,48344,0,0,0
intracell,peanut,W12_ICS_AA22008_2022-06-23_Peanut.fcs,40724,40724,0,0,0
intracell,peanut,W12_ICS_AA22011_2022-07-21_Peanut.fcs,49211,49211,0,0,0
intracell,peanut,W12_ICS_AA22019_2023-02-10_Peanut.fcs,39569,39500,0.174378933,0,0.174378933
intracell,peanut,W12_ICS_AA23001_2023-07-14_Peanut.fcs,39473,39473,0,0,0
intracell,peanut,W12_ICS_AA23002_2023-06-15_Peanut.fcs,40087,39750,0.840671539,0,0.840671539
intracell,peanut,W12_ICS_AA23003_2023-07-20_Peanut.fcs,46632,46132,1.072225081,0,1.072225081
intracell,peanut,W12_ICS_AA23004_2023-08-15_Peanut.fcs,49123,47750,2.795024734,0.250391873,2.795024734
intracell,peanut,W12_ICS_AA23005_2023-10-30_Peanut1.fcs,42548,42500,0.112813763,0,0.112813763
intracell,peanut,W12_ICS_AA23005_2023-10-30_Peanut2.fcs,41174,41000,0.422596784,0,0.422596784
intracell,peanut,W12_ICS_AA23008_2023-10-06_Peanut.fcs,38496,38496,0,0,0
intracell,peanut,W12_ICS_AA23009_2023-10-11_Peanut.fcs,47030,47000,0.063789071,0.063789071,0
intracell,peanut,W12_ICS_AA23010_2023-11-09_Peanut.fcs,38751,38751,0,0,0
intracell,peanut,W12_ICS_AA23013_2024-02-16_Peanut.fcs,44912,43662,2.78322052,0,2.78322052
intracell,peanut,W12_ICS_AA23015_2024-02-16_Peanut.fcs,38920,38420,1.284686536,0,1.284686536
intracell,peanut,W2_ICS_AA22008_2022-04-04_Peanut.fcs,40810,40310,1.225189904,1.225189904,0
intracell,peanut,W2_ICS_AA22011_2022-05-10_Peanut.fcs,41433,41433,0,0,0
intracell,peanut,W2_ICS_AA22019_2022-12-09_Peanut.fcs,39949,38750,3.001326692,0,3.001326692
intracell,peanut,W2_ICS_AA22020_2022-12-19_Peanut.fcs,36431,36000,1.183058384,NA,1.183058384
intracell,peanut,W2_ICS_AA23001_2023-05-05_Peanut.fcs,39187,39000,0.477199071,0.477199071,0
intracell,peanut,W2_ICS_AA23002_2023-04-05_Peanut.fcs,30722,30722,0,NA,0
intracell,peanut,W2_ICS_AA23003_2023-05-16_Peanut.fcs,47325,47250,0.158478605,0,0.158478605
intracell,peanut,W2_ICS_AA23004_2023-05-19_Peanut.fcs,60268,55000,8.740957058,0.029866596,8.740957058
intracell,peanut,W2_ICS_AA23005_2023-08-23_Peanut.fcs,51193,51193,0,0,0
intracell,peanut,W2_ICS_AA23008_2023-07-24_Peanut.fcs,39001,39001,0,0,0
intracell,peanut,W2_ICS_AA23009_2023-08-01_Peanut.fcs,46449,46449,0,0,0
intracell,peanut,W2_ICS_AA23010_2023-08-28_Peanut1.fcs,40874,40124,1.834907276,0,1.834907276
intracell,peanut,W2_ICS_AA23010_2023-08-28_Peanut2.fcs,39311,37000,5.87876167,0.155172852,3.815725878
intracell,peanut,W2_ICS_AA23013_2023-12-08_Peanut.fcs,49987,49987,0,0,0
intracell,peanut,W2_ICS_AA23015_2023-12-01_Peanut.fcs,43557,43557,0,0,0
intracell,peanut,W24_ICS_AA22008_2022-09-12_Peanut.fcs,51432,51432,0,0,0
intracell,peanut,W24_ICS_AA22011_2022-10-20_Peanut.fcs,53076,51750,2.498304318,0.143190896,2.498304318
intracell,peanut,W24_ICS_AA22019_2023-05-03_Peanut1.fcs,47301,47301,0,0,0
intracell,peanut,W24_ICS_AA22019_2023-05-03_Peanut2.fcs,47132,46750,0.810489689,0,0.810489689
intracell,peanut,W24_ICS_AA22020_2023-06-01_Peanut1.fcs,32416,32416,0,NA,0
intracell,peanut,W24_ICS_AA22020_2023-06-01_Peanut2.fcs,32304,32250,0.167161961,NA,0.167161961
intracell,peanut,W24_ICS_AA23001_2023-10-17_Peanut.fcs,54856,54106,1.367215984,0,1.367215984
intracell,peanut,W24_ICS_AA23002_2023-09-07_Peanut.fcs,42071,42000,0.16876233,0,0.16876233
intracell,peanut,W24_ICS_AA23003_2023-10-16_Peanut.fcs,46489,46250,0.51410011,0,0.51410011
intracell,peanut,W24_ICS_AA23004_2023-11-06_Peanut.fcs,56364,56364,0,0,0
intracell,peanut,W24_ICS_AA23005_2024-01-19_Peanut.fcs,37474,37474,0,0,0
intracell,peanut,W24_ICS_AA23008_2024-01-02_Peanut1.fcs,43527,42527,2.297424587,0,2.297424587
intracell,peanut,W24_ICS_AA23008_2024-01-02_Peanut2.fcs,41969,41969,0,0,0
intracell,peanut,W24_ICS_AA23009_2024-01-03_Peanut.fcs,37992,37992,0,0,0
intracell,peanut,W24_ICS_AA23010_2024-02-05_Peanut.fcs,39583,39583,0,0,0
intracell,peanut,W24_ICS_AA23013_2024-05-09_Peanut1.fcs,45688,45500,0.411486605,0,0.411486605
intracell,peanut,W24_ICS_AA23013_2024-05-09_Peanut2.fcs,44119,44119,0,0,0
intracell,peanut,W24_ICS_AA3015_2024-05-10_Peanut1.fcs,38670,38670,0,0,0
intracell,peanut,W24_ICS_AA3015_2024-05-10_Peanut2.fcs,38471,38471,0,0,0
intracell,peanut,W36_ICS_AA22011_2023-01-09_Peanut.fcs,42290,42250,0.094585008,0,0.094585008
intracell,peanut,W36_ICS_AA22019_2023-07-27_Peanut.fcs,50294,47750,5.058257446,0.087485585,5.058257446
intracell,peanut,W36_ICS_AA22020_2023-09-07_Peanut1.fcs,34511,34000,1.480687317,NA,1.480687317
intracell,peanut,W36_ICS_AA22020_2023-09-07_Peanut2.fcs,35013,34500,1.46517008,NA,1.46517008
intracell,peanut,W36_ICS_AA23001_2024-01-10_Peanut.fcs,49020,48750,0.550795594,0,0.550795594
intracell,peanut,W36_ICS_AA23002_2023-11-28_Peanut.fcs,45558,45558,0,0,0
intracell,peanut,W36_ICS_AA23003_2024-01-08_Peanut.fcs,48958,48958,0,0,0
intracell,peanut,W36_ICS_AA23004_2024-02-02_Peanut.fcs,54627,54627,0,0,0
intracell,peanut,W36_ICS_AA23005_2024-04-12_Peanut.fcs,39708,39500,0.523823915,0,0.523823915
intracell,peanut,W36_ICS_AA23008_2024-04-16_Peanut.fcs,42215,42215,0,0,0
intracell,peanut,W36_ICS_AA23009_2024-03-25_Peanut.fcs,39993,39750,0.607606331,0,0.607606331
intracell,peanut,W36_ICS_AA23010_2024-05-03_Peanut.fcs,40102,40102,0,0,0
intracell,peanut,W36_ICS_AA23013_2024-07-31_Peanut.fcs,50599,50599,0,0,0
intracell,peanut,W36_ICS_AA23015_2024-07-30_Peanut.fcs,47959,47000,1.999624679,0,1.999624679
intracell,peanut,W48_ICS_AA22008_2023-02-27_Peanut.fcs,37692,37692,0,0,0
intracell,peanut,W48_ICS_AA22011_2023-04-14_Peanut.fcs,44356,44356,0,0,0
intracell,peanut,W48_ICS_AA22019_2023-10-16_Peanut.fcs,44069,44069,0,0,0
intracell,peanut,W48_ICS_AA22020_2023-12-07_Peanut.fcs,36656,36656,0,NA,0
intracell,peanut,W48_ICS_AA23001_2024-04-11_Peanut.fcs,33732,33732,0,NA,0
intracell,peanut,W48_ICS_AA23002_2024-02-29_Peanut.fcs,40783,40500,0.693916583,0,0.693916583
intracell,peanut,W48_ICS_AA23003_2024-04-15_Peanut.fcs,42119,42119,0,0,0
intracell,peanut,W48_ICS_AA23004_2024-04-22_Peanut1.fcs,41998,41500,1.185770751,0,1.185770751
intracell,peanut,W48_ICS_AA23004_2024-04-22_Peanut2.fcs,41591,40250,3.224255248,0,3.224255248
intracell,peanut,W48_ICS_AA23005_2024-07-09_Peanut.fcs,48758,48250,1.041880307,0,1.041880307
