filename,batch,group
BATCH1_SUR_PBMC-RD_2024-04-18_Peanut.fcs,1,technical
BATCH2_SUR_PBMC-RD_2024-04-18_Peanut.fcs,2,technical
BATCH3_SUR_PBMC-RD_2024-04-18_Peanut.fcs,3,technical
BATCH4_SUR_PBMC-RD_2024-04-18_Peanut.fcs,4,technical
BATCH5_SUR_PBMC-RD_2024-04-18_Peanut.fcs,5,technical
BATCH6_SUR_PBMC-RD_2024-04-18_Peanut.fcs,6,technical
BATCH7_SUR_PBMC-RD_2024-04-18_Peanut.fcs,7,technical
BATCH8_SUR_PBMC-RD_2024-04-18_Peanut.fcs,8,technical
BATCH9_SUR_PBMC-RD_2024-04-18_Peanut.fcs,9,technical
BATCH10_SUR_PBMC-RD_2024-04-18_Peanut.fcs,10,technical
BATCH11_SUR_PBMC-RD_2024-04-18_Peanut.fcs,11,technical
BATCH12_SUR_PBMC-RD_2024-04-18_Peanut.fcs,12,technical
BATCH13_SUR_PBMC-RD_2024-04-18_Peanut.fcs,13,technical
BATCH14_SUR_PBMC-RD_2024-04-18_Peanut.fcs,14,technical
BATCH15_SUR_PBMC-RD_2024-04-18_Peanut.fcs,15,technical
BATCH16_SUR_PBMC-RD_2024-04-18_Peanut.fcs,16,technical
BATCH17_SUR_PBMC-RD_2024-04-18_Peanut.fcs,17,technical
BATCH18_SUR_PBMC-RD_2024-04-18_Peanut.fcs,18,technical
BATCH19_SUR_PBMC-RD_2024-04-18_Peanut.fcs,19,technical
BATCH20_SUR_PMBC-RD_2024-04-18_Peanut.fcs,20,technical
BATCH21_SUR_PBMC-RD_2024-04-18_Peanut.fcs,21,technical
BATCH22_SUR_PBMC-RD_2024-04-18_Peanut.fcs,22,technical
BATCH23_SUR_PBMC-RD_2024-04-18_Peanut.fcs,23,technical
BATCH24_SUR_PBMC-RD_2024-04-18_Peanut.fcs,24,technical
BATCH25_SUR_PBMC-RD_2024-04-18_Peanut.fcs,25,technical
BATCH26_SUR_PBMC-RD_2024-04-18_Peanut.fcs,26,technical
BAS_SUR_AA22008_2022-03-14_Peanut1.fcs,1,sample
BAS_SUR_AA22008_2022-03-14_Peanut2.fcs,1,sample
BAS_SUR_AA22008_2022-03-14_Unstim.fcs,1,sample
W6_SUR_AA22008_2022-05-02_Peanut1.fcs,1,sample
W6_SUR_AA22008_2022-05-02_Peanut2.fcs,1,sample
W6_SUR_AA22008_2022-05-02_Unstim.fcs,1,sample
W36_SUR_AA22008_2022-09-12_Peanut.fcs,1,sample
W36_SUR_AA22008_2022-09-12_Unstim.fcs,1,sample
BAS_SUR_AA22011_2022-04-01_Peanut.fcs,2,sample
BAS_SUR_AA22011_2022-04-01_Unstim.fcs,2,sample
W6_SUR_AA22011_2022-06-09_Peanut1.fcs,2,sample
W6_SUR_AA22011_2022-06-09_Peanut2.fcs,2,sample
W6_SUR_AA22011_2022-06-09_Unstim.fcs,2,sample
W24_SUR_AA22011_2022-10-20_Peanut.fcs,2,sample
W24_SUR_AA22011_2022-10-20_Unstim.fcs,2,sample
W36_SUR_AA22011_2023-01-09_Peanut.fcs,2,sample
W36_SUR_AA22011_2023-01-09_Unstim.fcs,2,sample
BAS_SUR_AA22019_2022-10-18_Peanut.fcs,3,sample
BAS_SUR_AA22019_2022-10-18_Unstim.fcs,3,sample
W6_SUR_AA22019_2023-01-04_Peanut.fcs,3,sample
W6_SUR_AA22019_2023-01-04_Unstim.fcs,3,sample
W24_SUR_AA22019_2023-05-03_Peanut1.fcs,3,sample
W24_SUR_AA22019_2023-05-03_Peanut2.fcs,3,sample
W24_SUR_AA22019_2023-05-03_Unstim1.fcs,3,sample
W24_SUR_AA22019_2023-05-03_Unstim2.fcs,3,sample
W36_SUR_AA22019_2023-07-27_Peanut.fcs,3,sample
W36_SUR_AA22019_2023-07-27_Unstim.fcs,3,sample
BAS_SUR_AA22020_2022-10-25_Peanut.fcs,4,sample
BAS_SUR_AA22020_2022-10-25_Unstim.fcs,4,sample
W6_SUR_AA22020_2023-01-24_Peanut.fcs,4,sample
W6_SUR_AA22020_2023-01-24_Unstim.fcs,4,sample
W24_SUR_AA22020_2023-06-01_Peanut1.fcs,4,sample
W24_SUR_AA22020_2023-06-01_Peanut2.fcs,4,sample
W24_SUR_AA22020_2023-06-01_Unstim1.fcs,4,sample
W24_SUR_AA22020_2023-06-01_Unstim2.fcs,4,sample
W36_SUR_AA22020_2023-09-07_Peanut1.fcs,4,sample
W36_SUR_AA22020_2023-09-07_Peanut2.fcs,4,sample
W36_SUR_AA22020_2023-09-07_Unstim1.fcs,4,sample
W36_SUR_AA22020_2023-09-07_Unstim2.fcs,4,sample
BAS_SUR_AA23001_2023-02-07_Peanut1.fcs,5,sample
BAS_SUR_AA23001_2023-02-07_Peanut2.fcs,5,sample
BAS_SUR_AA23001_2023-02-07_Unstim.fcs,5,sample
W6_SUR_AA23001_2023-06-01_Peanut.fcs,5,sample
W6_SUR_AA23001_2023-06-01_Unstim.fcs,5,sample
W24_SUR_AA23001_2023-10-17_Peanut.fcs,5,sample
W24_SUR_AA23001_2023-10-17_Unstim.fcs,5,sample
W36_SUR_AA23001_2024-01-10_Peanut.fcs,5,sample
W36_SUR_AA23001_2024-01-10_Unstim.fcs,5,sample
BAS_SUR_AA23002_2023-02-17_Peanut1.fcs,6,sample
BAS_SUR_AA23002_2023-02-17_Peanut2.fcs,6,sample
BAS_SUR_AA23002_2023-02-17_Unstim.fcs,6,sample
W6_SUR_AA23002_2023-05-03_Peanut.fcs,6,sample
W6_SUR_AA23002_2023-05-03_Unstim.fcs,6,sample
W24_SUR_AA23002_2023-09-07_Peanut.fcs,6,sample
W24_SUR_AA23002_2023-09-07_Unstim.fcs,6,sample
W36_SUR_AA23002_2023-11-28_Peanut.fcs,6,sample
W36_SUR_AA23002_2023-11-28_Unstim.fcs,6,sample
