"","medians BAS","medians W2","p values","-log10 p values","adjusted p values","fold changes","log10 fold changes"
"C1 CD154 <CD154>",0.555053055286407,-0.397029787302017,0.0966008673592362,1.01501897412655,0.338671580306846,NA,NA
"C2 CD154 <CD154>",0.0531722120940685,-0.607801645994186,0.0258803822632209,1.58702931325908,0.338671580306846,NA,NA
"C3 CD154 <CD154>",0.695386379957199,0.00303353648632765,0.0590075231968094,1.22909261421261,0.338671580306846,-229.232904595462,-2.36027695735539
"C4 CD154 <CD154>",0.617688417434692,0.122914426028728,0.0892582372948618,1.04935169402107,0.338671580306846,-5.02535330792109,-0.701166600278918
"C5 CD154 <CD154>",1.3545161485672,0.52037113904953,0.0823719395732658,1.0842207077683,0.338671580306846,-2.60298092442493,-0.415470985455626
"C6 CD154 <CD154>",1.46483373641968,1.00373721122742,0.162346947046639,0.789555873919808,0.338671580306846,-1.45937972612215,-0.164168308687626
"C7 CD154 <CD154>",1.27501249313354,0.910518229007721,0.0892582372948618,1.04935169402107,0.338671580306846,-1.400315174934,-0.146225795199362
"C8 CD154 <CD154>",1.04509365558624,0.428655162453651,0.199165276816437,0.700786375759193,0.343388408304202,-2.43807551413601,-0.387047152826534
"C9 CD154 <CD154>",1.3912079334259,1.16002082824707,0.307920989479557,0.511560706340521,0.39989738893449,-1.19929565017223,-0.0789262585038481
"C10 CD154 <CD154>",1.20842921733856,0.902111828327179,0.186269369168765,0.729858556240111,0.338671580306846,-1.33955589472693,-0.126960839829273
"C11 CD154 <CD154>",1.0291576385498,0.143345437943935,0.162346947046639,0.789555873919808,0.338671580306846,-7.17956325162105,-0.856098025972094
"C12 CD154 <CD154>",0.747070610523224,0.00102033698931336,0.0285068904286612,1.54505015355432,0.338671580306846,-732.180268232719,-2.86461802075814
"C13 CD154 <CD154>",1.07310581207275,0.659955948591232,0.0698917182515485,1.15557428249093,0.338671580306846,-1.6260264254962,-0.211127599286293
"C14 CD154 <CD154>",1.18116104602814,0.850678831338882,0.186269369168765,0.729858556240111,0.338671580306846,-1.3884923457765,-0.142543489994673
"C15 CD154 <CD154>",1.30135667324066,0.795695155858994,0.162346947046639,0.789555873919808,0.338671580306846,-1.63549653866597,-0.213649629329321
"C16 CD154 <CD154>",1.70766806602478,1.14496374130249,0.140819247035076,0.85133798219775,0.338671580306846,-1.49146038815357,-0.173611723380435
"C17 CD154 <CD154>",1.69474774599075,1.4270224571228,0.174001236239583,0.759447666141987,0.338671580306846,-1.18761112520103,-0.0746742572894395
